Genes,log2FC(S2/P1),q value
CLSTN1,-0.204997126,0.032523138
OSBPL3,-0.205086543,0.021521887
ASAP3,-0.205149691,0.001909066
HPCAL1,-0.205205952,0.026143848
MAP3K20,-0.205231625,0.00187567
PRRG4,-0.205316686,0.007078164
ZC3HAV1,-0.205364282,0.000434228
TGM3,-0.205532665,0.000717935
TNKS1BP1,-0.205590303,0.000894781
GATD3B,-0.205610614,0.259187849
FOXK1,-0.20562559,0.001662222
PRCC,-0.205641511,0.0625499
NEFM,-0.205659542,0.006946664
WRNIP1,-0.205667085,0.01108255
DTD2,-0.205719945,0.005698724
RMC1,-0.205724507,0.009175005
CHDH,-0.2057831,0.007642503
POLR2B,-0.205859948,0.000487613
TUT4,-0.205869025,0.00082205
ZBTB33,-0.205886868,0.004462271
PLSCR4,-0.206031675,0.012148388
C1QB,-0.206088228,0.03570519
PABPC4,-0.206092031,0.000438915
EEF1A1,-0.206516199,0.000598329
LRPPRC,-0.206524394,0.001081859
CHMP2B,-0.206530161,0.023105764
FBRS,-0.206687642,0.000923997
PDLIM4,-0.206739242,0.009315908
STON2,-0.206752255,0.001211551
RPL5,-0.20683033,0.000215656
TIAL1,-0.20691245,0.002918991
MAGED2,-0.206918393,0.036542973
PCYOX1L,-0.206957462,0.014378358
SRI,-0.206973293,0.000168491
CEMIP2,-0.207481345,0.009928195
KALRN,-0.20759384,0.015945226
WDR37,-0.207600129,0.009287677
PTPN9,-0.207607636,0.044179206
TTC28,-0.207741845,0.002684402
RTCB,-0.207784642,0.000224572
TSFM,-0.207814948,0.00600792
SPATS2L,-0.208091057,0.02053294
ARCN1,-0.208140314,0.000256094
SMOC2,-0.208169905,0.053348991
KDM3A,-0.208197854,0.149899692
RAPGEF1,-0.208362757,0.015373384
CAMKK2,-0.208391919,0.106969037
INPP5D,-0.208419187,0.024639692
TXNDC15,-0.20847712,0.002574022
MRPS5,-0.208489324,0.002187915
MED27,-0.208516482,0.069129973
HCCS,-0.208533073,0.000766205
FAM234A,-0.208562396,0.011314094
NUP85,-0.208665683,0.010694484
STIM1,-0.208730737,0.002574022
VPS13B,-0.20880711,0.014743352
FLII,-0.20892733,0.000935449
NFS1,-0.20897321,0.026114053
GBF1,-0.209001404,0.001875916
GET4,-0.209055877,0.016282043
HADHB,-0.209062506,0.000969368
BICDL2,-0.209086195,0.102984964
TMA7,-0.209134981,0.009908015
JUNB,-0.209243062,0.01771335
CNN1,-0.209319233,0.00103981
TLE5,-0.209414578,0.196643138
AIFM2,-0.209477228,0.032418573
FIP1L1,-0.209562522,0.141947593
LSS,-0.209569143,0.000209195
TRMT61B,-0.209763111,0.055801347
TTI2,-0.209769469,0.006083923
NUB1,-0.21006791,0.078746368
PTPMT1,-0.210140614,0.023128717
DEF6,-0.210293578,0.006783151
COG7,-0.21035906,0.019330004
PARP9,-0.210432598,0.033461692
FAT1,-0.210513313,0.06957169
SEH1L,-0.210543591,0.002201839
IFT140,-0.210601031,0.038796738
NELFB,-0.210766192,0.102477791
RRBP1,-0.210777609,0.000175502
COBLL1,-0.210783056,0.005005365
PRRC2B,-0.210797823,0.058626119
HNRNPA3,-0.210803976,0.00082205
STARD7,-0.210960869,0.084501292
RPS6KA1,-0.210986341,0.000983708
PARP4,-0.211024589,0.030597432
NID2,-0.211051224,0.007957616
ESPN,-0.211173949,0.006886601
SCAPER,-0.211198379,0.00454883
PRRX2,-0.211292056,0.001165262
LPAR2,-0.211371858,0.011986937
RAB3GAP1,-0.211505261,0.002252756
ARHGEF16,-0.211519619,0.044578959
MGAT2,-0.211621102,0.002324471
DCTN1,-0.211790821,7.98E-05
MARF1,-0.211920883,0.017455798
GALC,-0.212121181,0.075668785
EIF3F,-0.212245106,0.00048212
ST14,-0.212434005,0.080024062
LRRC8C,-0.212490491,0.177740091
SEC31A,-0.212528634,0.000858089
PSIP1,-0.212585159,0.00062112
ACAT1,-0.212596462,0.060376491
ANKS1A,-0.212637456,0.000104321
ERCC8,-0.212681154,0.034108895
PLEC,-0.21274296,0.039974547
BBS9,-0.21274381,0.015358825
FAM111A,-0.212775292,0.009891454
RUBCN,-0.212831732,0.002807223
ZHX1,-0.212965804,0.032276583
DIAPH1,-0.213016324,0.003259982
GBA,-0.213026997,0.001491046
RPAP1,-0.213046998,0.048500251
ZDHHC5,-0.21308444,0.019587414
POSTN,-0.213098683,0.04887433
EIF2S3;EIF2S3B,-0.213138536,0.002116586
ACTR10,-0.21321287,0.025766375
KDM5B,-0.213328714,0.005143356
SCARA5,-0.21344746,0.06540159
EPDR1,-0.213478269,0.001277593
NAA50,-0.213579735,0.002504963
SMARCA4,-0.213664347,0.009663725
PLAU,-0.213675637,0.011678982
ZNF384,-0.213782533,0.004233926
SNAPIN,-0.213827007,0.03529814
CTSK,-0.21388814,0.07922117
NDUFS8,-0.214266208,0.230329825
TYK2,-0.214303127,0.01408821
CAD,-0.214432047,9.09E-05
NELFE,-0.214482206,0.012244171
COL6A1,-0.214588572,0.00024787
NOMO1;NOMO2;NOMO3,-0.214648961,0.011986937
MON2,-0.21468988,7.45E-05
NFIA,-0.214794818,0.009204103
SPTAN1,-0.214810528,0.000108753
KCTD4,-0.214936313,0.008050136
HNRNPA2B1,-0.215225595,0.002421162
MYH11,-0.215312009,0.003826526
ACOX1,-0.215345459,0.000172722
CD4,-0.215389727,0.012096704
CFH,-0.215400389,0.014238276
LMBRD1,-0.215455512,0.063182433
MRPL51,-0.21547214,0.016702969
PWWP2A,-0.215499578,0.057290643
CMTR2,-0.215693008,0.001388395
HLA-DQA1,-0.215728714,0.088761778
MCF2L,-0.215742195,0.03559217
ABHD4,-0.215833957,0.009809451
TBC1D4,-0.21605982,0.000805146
DDRGK1,-0.21637926,0.017994755
POLR3F,-0.216648226,0.000957932
CHADL,-0.216667757,0.23911387
SLC17A5,-0.216719281,0.013740922
AKAP13,-0.216728216,0.00016222
POLR2C,-0.216793038,0.102872056
KANSL2,-0.216795666,0.001516212
CHRDL2,-0.216845636,0.253192897
GP1BA,-0.216865203,0.122158737
CFD,-0.2168709,0.018186556
UQCRC2,-0.216936355,0.000481085
HNRNPUL2,-0.216993159,5.20E-05
MRPL4,-0.217139127,0.001716204
OSBPL8,-0.217205795,0.025190938
GTF2E1,-0.217244928,0.008112989
RIN1,-0.21737248,0.018453968
EXT2,-0.217411022,0.003890161
MET,-0.217594932,0.022709678
ERG28,-0.217637242,0.009271016
ZBED1,-0.217641221,0.004613276
MRPL9,-0.217702843,0.000946435
ERN1,-0.217740014,0.009609981
PPL,-0.217762453,0.000780582
SH3BP2,-0.217766611,0.019832715
UBN2,-0.217772704,0.005969607
PSMA2,-0.218035671,0.001206275
XXYLT1,-0.218095829,0.025750744
ADGRG1,-0.218379915,0.000107626
MBLAC2,-0.218442766,0.013266985
GIT2,-0.218512892,0.000607202
CCDC124,-0.218573807,0.000986745
FGFR1OP2,-0.218680406,0.163645962
CRACDL,-0.218826101,0.014512808
MPPE1,-0.218939684,0.005416865
PSMA6,-0.219018215,7.91E-05
SNRPB2,-0.219037691,0.011754505
DEPTOR,-0.219129756,0.00810668
TBC1D5,-0.219156507,0.000859387
USP3,-0.219202352,0.004660204
CCDC86,-0.219228665,0.001057753
TUFT1,-0.219412074,0.002558021
TOR1B,-0.219511476,0.05384398
PXK,-0.219546453,0.018872114
LTBP1,-0.219609854,0.005995717
ANP32A,-0.219796094,0.012544978
PLEKHA2,-0.219820805,0.001074654
TMEM259,-0.21990917,0.005930326
F7,-0.219966363,0.065924559
AP2S1,-0.21998086,0.002379157
VASP,-0.219990536,0.000167418
HMOX1,-0.220090047,0.034372279
ELP1,-0.220104783,0.000420374
CRYBG3,-0.220105404,0.001695262
CDCP1,-0.220126645,0.076526334
RPA1,-0.220128207,0.000164181
GOSR1,-0.220148118,0.039726179
MAP2K4,-0.22023568,0.001946804
FBLN5,-0.220385248,0.019261349
RORA,-0.220489582,0.022142491
RAPGEF4,-0.220518306,0.111217131
ZDHHC13,-0.220539967,0.033050514
KTN1,-0.220573049,0.00011676
CEP97,-0.220645417,0.004300338
DSC1,-0.220765038,0.000655446
PTK2B,-0.220820017,4.00E-05
YIPF6,-0.220930184,0.004136344
F12,-0.221069066,0.009271134
SYNRG,-0.221097797,0.007292032
VPS13C,-0.221322285,0.000601814
ZBTB20,-0.221379283,0.006994448
OCRL,-0.221450081,0.001012442
AP2A1,-0.22146831,0.001027913
ACTN1;ACTN2,-0.221482909,0.113215007
ITGB4,-0.221638567,0.007307404
CD9,-0.221724854,0.000745757
ZNF185,-0.221887581,0.012244171
USP32,-0.221990079,0.020670437
RDH14,-0.222019795,0.000167362
AKTIP,-0.222159542,0.003199011
MTG2,-0.222174895,0.090587773
FZD6,-0.222185752,0.136572578
TRMT10C,-0.222369038,0.000121242
CPA3,-0.222370432,0.003641399
TOP3B,-0.222401606,0.00745668
ENGASE,-0.222647756,0.001719642
AHR,-0.222687802,0.006786702
PRDM2,-0.222776788,0.006807835
ALOX5AP,-0.222998255,0.086916
EMC8,-0.223031441,0.013744312
RPRD2,-0.223080092,0.044513842
DYNC1LI2,-0.22314856,0.003263005
AGFG1,-0.223157272,0.00305444
ITPKC,-0.223294735,0.010518586
LRRC57,-0.223327374,0.000821893
PRKD2,-0.223344994,0.005242614
MRPL38,-0.22334772,0.03464571
INTS7,-0.223380144,0.01547738
ST7,-0.22338129,0.006457782
CUTC,-0.223406381,0.009724006
TENT5B,-0.223434144,0.008106963
MRPL48,-0.223546532,0.000142427
PCGF1,-0.22360247,0.004276238
TAF4,-0.223605294,0.000259207
PDLIM7,-0.223635044,0.001263839
COX4I1,-0.223685354,0.000143944
CANX,-0.22377971,0.000394924
ARL8A,-0.22380419,0.003402141
PHACTR4,-0.223882165,0.088031761
ABCE1,-0.223898615,0.001122987
NRBP2,-0.224104135,0.002029023
HIP1,-0.224167975,0.000889629
CCDC47,-0.224172245,0.013177961
RAB33B,-0.224179091,0.043862701
BCLAF3,-0.224269332,0.004272754
ARHGEF26,-0.224364049,0.017907756
CASK,-0.224366516,0.000176044
ERMAP,-0.224391042,0.033056796
SCAI,-0.224425627,0.00154905
PLXNC1,-0.224508575,0.001430671
WNK1,-0.224621487,5.20E-05
XRCC5,-0.224622053,0.000117661
FGFR3,-0.224726292,0.004462271
DNM1L,-0.224832708,0.001405274
PCDHGB4;PCDHGB5,-0.224875128,0.02515606
ANP32E,-0.22488281,0.000118441
PDCD7,-0.224967391,0.011253486
ESYT1,-0.224988531,0.000175502
KCNK7,-0.22512741,0.039075943
SH2D4A,-0.225131419,0.043534253
CPSF3,-0.225136888,0.000855067
MAPT,-0.225200696,0.002608771
EXOSC6,-0.225226151,0.000644939
TRAPPC12,-0.225293189,0.051386857
CDK17,-0.225869998,0.006241044
ARHGEF11,-0.22588348,0.040494032
NCAPD3,-0.225936734,0.000935449
WASL,-0.225945976,0.239279543
BCL11A,-0.225964014,0.007059098
DHRS1,-0.226001053,0.003006612
RIC1,-0.226008554,0.010123088
RPP25L,-0.226022713,0.003348604
GOLGA7,-0.226041025,0.000476141
CHCHD6,-0.226042348,0.021887252
RUFY1,-0.226104617,0.007261153
BORCS7,-0.22619179,0.004351063
GP9,-0.226220646,0.068529537
RIT1,-0.226353892,0.002422289
PDAP1,-0.226486095,0.002092929
CRYBG1,-0.226566884,0.000625796
XRCC6,-0.226787935,9.67E-05
COX15,-0.226814435,0.012244171
CYBA,-0.226922686,0.104285258
NFASC,-0.226966903,0.004532933
NDUFA5,-0.227048506,0.008603936
ABCA12,-0.227089571,0.007359035
TBC1D17,-0.227107859,0.005293093
RBSN,-0.227208113,0.001284467
CUL3,-0.227223219,0.000554361
IGFBP3,-0.227330748,0.138246122
RAB6A,-0.227357542,0.000436592
PALMD,-0.227492403,0.001573376
GOLM2,-0.227942951,0.003936048
BLOC1S1,-0.227963108,0.000319785
RAB8A,-0.228226824,0.067211891
KEAP1,-0.22838442,0.003531685
CCDC115,-0.228397581,0.005610889
DHX32,-0.228497777,0.000425196
ASH2L,-0.228526729,0.002058301
DOCK5,-0.228531781,0.003266575
BRD3,-0.228539116,0.032509606
ABCC4,-0.228843149,0.006515844
ENAH,-0.229108011,0.018792186
AQP5,-0.229115163,0.176295815
MYO1C,-0.229327566,0.000118441
RIPK3,-0.229468487,0.058536042
DYSF,-0.22949501,0.036418005
SFXN2,-0.229507588,0.024001288
PDSS2,-0.229585241,0.002508969
TLE4,-0.229895596,0.003171543
GAS2L1,-0.230022604,0.000627579
MPHOSPH6,-0.23016473,0.032482126
HK2,-0.230241764,0.075745976
POLR3B,-0.230324301,0.002652669
TDRD7,-0.230332187,0.011996997
CARMIL1,-0.230356422,0.072772516
EIF2B4,-0.230434205,0.003649535
TAF6L,-0.230653919,0.00531423
MNDA,-0.230753569,0.005332627
WDR89,-0.230811919,0.000538246
KRT77,-0.230960727,0.002189199
APMAP,-0.231053588,0.000604555
BCKDK,-0.231257705,0.000204241
TGM1,-0.231315771,0.001885987
MAP1S,-0.231316579,0.012709307
RTF1,-0.23132575,0.003259982
GUSB,-0.231332259,0.009615265
SH3GLB2,-0.231336663,0.000258376
ERCC6,-0.231350198,0.002579828
MRPS10,-0.231468374,0.050104318
SLC2A1,-0.231531138,0.002282376
HSPA12B,-0.231830997,0.001230682
FEM1B,-0.231865156,0.020167607
LRSAM1,-0.231882173,0.083100385
EIF3H,-0.231899288,0.004626273
UQCRFS1,-0.231999123,0.001503532
EFR3A,-0.232154051,0.003765314
CASKIN2,-0.232205403,0.008249344
EML4,-0.232240811,0.000220595
RASA4;RASA4B,-0.232401931,0.040678316
CD151,-0.232423092,0.040597136
PSMB1,-0.232467835,0.001631364
ANKRD50,-0.232521167,0.015945226
RPL12,-0.232603033,0.000809719
AKAP10,-0.232670126,0.017083962
SMC6,-0.232694879,0.004328685
TOP2A,-0.2327306,0.000473532
PSD4,-0.232739599,0.006606648
HPS1,-0.233027741,0.01668953
PGRMC2,-0.23316321,0.000122942
OSBPL5,-0.233261398,0.005175244
IRF2BP1,-0.233299677,0.012723772
MYO9A,-0.233335691,0.001083663
SRP14,-0.233372075,0.08880149
ALOX12,-0.233392281,0.00565427
DNAJC1,-0.233404303,0.004233926
SRP54,-0.233513983,0.004660204
CLASP1,-0.233608421,0.015741923
PODN,-0.233620454,0.041562344
SDHD,-0.233657324,0.156407442
ARVCF,-0.233694437,0.034165545
DOCK2,-0.233732688,0.007459383
ERGIC1,-0.233748459,0.000246519
CAB39L,-0.233876542,0.002177601
SH2D3A,-0.233907233,0.0010735
EFNA5,-0.23395052,0.043281334
FEZ2,-0.233979192,0.021034286
EXOSC1,-0.233984292,0.021520395
ITFG1,-0.234163462,0.000363385
TNR,-0.234193724,0.068813712
MRPL2,-0.234265163,0.059283602
ZFC3H1,-0.234357633,0.003222655
TPRN,-0.234749152,0.039586602
ATP11B,-0.234819765,0.008199375
BCL2L2;PABPN1,-0.234872685,0.003845275
DAP,-0.234940692,0.019144364
RAPH1,-0.23494158,0.0173437
DIAPH2,-0.234946272,0.031822622
SMAP2,-0.234979634,0.164908462
NDUFS3,-0.234981375,0.000262745
CAPNS2,-0.235008966,0.001437501
VAC14,-0.235120277,0.005226386
RIOX1,-0.235131302,0.006466374
RNF40,-0.235189832,0.002636033
GTF2H1,-0.235226432,0.020983413
TMED10,-0.235227876,0.001130758
EXOG,-0.235229638,0.025918764
WDR45B,-0.235258943,0.029845994
ALDH6A1,-0.235278694,0.001008954
TMEM40,-0.235316317,0.004811148
DLG1,-0.235329491,0.000235029
GPX8,-0.235679524,0.001700527
GNL1,-0.235682783,0.002924125
MED8,-0.235936032,0.184631735
RAPGEF2,-0.235961792,0.003795362
TMEM63A,-0.235987269,0.006524266
IBA57,-0.235997137,0.002039885
ZNF512,-0.236091901,0.00134258
STK11IP,-0.236193872,0.004806344
PEX19,-0.236209782,0.063176749
BORCS5,-0.236221214,0.020228076
TTPAL,-0.236279775,0.010138691
POGZ,-0.236295431,0.001055082
ATAD2,-0.236670913,0.002907228
MRPL19,-0.236703837,0.000148815
NMT1,-0.236773011,0.004462271
GTF2E2,-0.23678071,0.086173539
ASPH,-0.236829974,0.001206275
SIPA1L3,-0.236945727,0.000359146
ELMO1,-0.23704542,0.067111132
NRBP1,-0.237244061,0.018829212
CMA1,-0.237266187,0.00564609
SPTBN4,-0.23729124,0.009078553
FAM241A,-0.237377163,0.001513971
PURA,-0.237396952,0.00040977
ADGRF4,-0.237468866,0.008039695
YBEY,-0.237476339,0.002230105
AP4E1,-0.237555328,0.051971326
MRPL13,-0.237556102,0.002168387
PHAF1,-0.237576066,0.03492832
CPSF2,-0.237576874,0.000170069
ATP5PD,-0.237792282,0.00703452
CEP43,-0.238026415,0.005889425
GOLPH3L,-0.238028583,0.002893137
DNAJC5,-0.238037282,0.014917042
MESD,-0.238039977,0.016272465
COMMD4,-0.238051023,0.010469631
FRMD6,-0.238080637,0.000396662
REEP5,-0.23828064,7.96E-05
CDK5,-0.238308808,0.013124794
ECPAS,-0.238498913,0.000612451
PIAS1,-0.238629638,0.005416844
DGCR2,-0.238900651,0.00239471
IL34,-0.239306951,0.015513066
MEN1,-0.239374517,0.01037049
PTPRF,-0.239447277,0.0011878
ANKRD28,-0.23947372,0.038091617
DYRK1A,-0.239475966,0.0272997
PDLIM7,-0.239481823,0.005380071
ARPC1A,-0.239483759,0.000785188
NSDHL,-0.23951493,0.002016616
TP53I11,-0.239594502,0.003474317
DAP3,-0.239644156,0.000329939
SBNO2,-0.239693392,0.025399334
ADCK5,-0.239949402,0.032565211
TMED4,-0.24004178,0.001885862
RAB13,-0.240050242,0.008711746
MYOF,-0.240193259,0.000225261
VPS37A,-0.240525454,0.004552322
GPSM1,-0.240605359,0.018366229
TMEM159,-0.240735928,0.014504279
RRS1,-0.240771711,0.031763278
HOOK2,-0.240912867,0.000366561
CD36,-0.241044982,0.025418481
CLEC2A,-0.241097296,0.003207458
MAOA,-0.241352262,0.000723982
SNX30,-0.241424462,0.000608253
TACO1,-0.241485121,0.00134546
BTG1,-0.241608475,0.00569173
ATL3,-0.241786147,0.000601814
UGCG,-0.241845712,0.018176377
UBE3C,-0.241876338,0.001871498
RNASEH2A,-0.24188759,0.000368324
TELO2,-0.242083662,0.001725315
PLA2G4A,-0.242271315,0.000723982
ATP6V0A1,-0.242288894,0.000328123
CPNE1,-0.242380148,0.001073724
MACC1,-0.242576704,0.003313389
EIF2AK4,-0.242659276,0.001723909
AAR2,-0.242669707,0.026657101
MRPL49,-0.24268866,0.000254304
GAPVD1,-0.242713357,0.000196616
ADCY3,-0.242747356,0.006629406
TMCC3,-0.242877847,0.00256409
EXOC8,-0.243076638,0.000185479
STAB1,-0.243273474,0.021008974
KCTD5,-0.243284404,0.053351751
TMED9,-0.243452939,0.000139404
ANAPC1,-0.24348135,0.00042427
AQR,-0.243626701,0.000941103
TET2,-0.243637426,0.004689197
TMEM143,-0.243697898,0.021276312
COX7B,-0.243779985,0.004413299
L1RE1,-0.243819528,0.000499736
EHD1,-0.243995051,0.00016222
EXOSC4,-0.244108494,0.000482753
CACYBP,-0.244120751,0.003748571
MGAT5,-0.244172575,0.006284677
ISY1,-0.244196054,0.006048561
IL21,-0.244246288,0.107954251
ASPN,-0.244386138,0.002269952
OCLN,-0.244592655,0.073548087
DEF8,-0.244598203,0.002733434
MYO1B,-0.244802319,0.000432654
SP3,-0.244804819,0.014666045
ACSL3,-0.244822678,0.010026726
GALNT3,-0.244895945,0.013778577
SDCCAG8,-0.245023269,0.000721494
MRPL50,-0.245026408,0.018512128
PIP4P2,-0.245036071,0.009381044
OSGEPL1,-0.24507837,0.00669378
MFAP1,-0.245094492,0.001377271
MED20,-0.245132442,0.019114331
PHAX,-0.245275734,0.000425296
ZNF703,-0.245305475,0.010330803
ZFP36L2,-0.245306532,0.002805164
REEP3,-0.245320494,0.085374606
RAB3GAP2,-0.245442703,0.003693139
SPATS2,-0.245513911,0.001227883
HNRNPK,-0.245573797,0.000216276
RBM17,-0.245589882,0.007734466
TOMM34,-0.24562733,0.013072368
ODF3B,-0.245739432,0.007615374
SS18,-0.24577242,0.003313389
STXBP3,-0.245833079,0.000235209
PLOD1,-0.245880438,0.004273393
BCL6,-0.24604681,0.00184429
PYCR2,-0.246059082,0.005068884
ACOT9,-0.246089914,0.013179057
VPS25,-0.246101986,0.001120492
COG5,-0.246152199,0.000932113
SAFB2,-0.246196871,0.005286226
NELFA,-0.246211645,0.00359092
UCKL1,-0.246572604,0.024770183
AP1G2,-0.246699381,0.003205238
ACSL1,-0.246777684,0.0010735
EZR,-0.246818224,0.00058226
MTMR12,-0.24682051,0.006424127
IQGAP1,-0.246850364,0.000485193
EIF2B5,-0.24686126,0.008447553
NDUFB3,-0.246867622,0.001405333
VDR,-0.247017003,0.025046816
RPAP3,-0.247059176,0.008342707
STOML2,-0.247072069,0.00889076
TIMMDC1,-0.247187234,0.000756911
TFCP2,-0.247236956,0.010330803
SEPTIN10,-0.247278367,0.000269725
SCRIB,-0.247318602,0.000122942
PEX14,-0.247335761,0.000722205
VIM,-0.2473802,0.000463832
CDC42BPG,-0.247406083,0.052512338
TNFSF12;TNFSF13,-0.247410115,0.022119285
PSG4,-0.247519939,0.009774529
ZMPSTE24,-0.247571536,0.002832906
CACTIN,-0.247857721,0.005471378
DGKA,-0.24804128,0.00078496
RAB7B,-0.24832664,0.001408085
FTL,-0.248397144,0.03717632
LY6G6C,-0.248429329,0.001432813
ACOX1,-0.248562105,0.001296696
MEF2D,-0.248579399,0.005072403
UXT,-0.248597842,0.00391813
COX6A1,-0.248806787,0.001786945
RADX,-0.248876093,0.053344616
MLH1,-0.249055023,0.00077907
CD207,-0.249113757,0.000136633
COPB1,-0.249157377,0.000785964
SYNCRIP,-0.249329693,0.00012044
FHIP1A,-0.249448526,0.000210123
PACSIN2,-0.249724276,0.000104437
SNTB2,-0.249874804,0.000304278
DNAJC10,-0.249969505,0.00378227
FAM120A,-0.249970338,0.0002775
GATAD2B,-0.250014648,0.007519686
ZW10,-0.250048237,0.006924997
NF1,-0.250144491,0.010858638
SLC15A1,-0.250321883,0.001835814
CCDC9,-0.250467231,0.004408937
ZFYVE1,-0.250578158,0.002707146
LAMB2,-0.250681282,0.002983728
OPA3,-0.250732296,0.04802002
TGOLN2,-0.250824321,0.037432384
TOR3A,-0.250888733,0.002610102
ACVR2A,-0.250947387,0.085605944
RTRAF,-0.250992382,0.002695927
KDELR2,-0.250995981,0.013042523
EEF1A2,-0.251155838,0.081090358
PTPN14,-0.251302184,0.001092914
BAZ1A,-0.25153026,0.032482126
IFT172,-0.251586634,0.000679637
DOLPP1,-0.251607487,0.005857561
ABCD1,-0.251685981,0.002519393
MLEC,-0.251980652,0.000484798
KPNA2,-0.251989556,0.012069825
NEMF,-0.252064819,0.011132647
ANXA8,-0.252116113,0.00615172
WDR35,-0.252240425,0.006494939
GJA1,-0.252291557,0.00058226
TSPO,-0.252386113,0.015394999
EPG5,-0.252404215,0.000664933
STX4,-0.252611324,0.000633697
WASF2,-0.252652777,0.029947979
LAMB1,-0.252658489,0.009438786
STRADA,-0.252763511,0.035548962
TACSTD2,-0.252763616,0.000150148
COX14,-0.252824873,0.015885929
ADARB1,-0.253106149,0.000883271
OSBPL6,-0.253141453,0.000980383
KPNA6,-0.25314628,6.30E-05
VAMP7,-0.253172958,0.000224385
CTIF,-0.253223647,0.000262745
MARCHF5,-0.25349651,0.012176538
INTS6,-0.253599742,0.028689733
ERCC1,-0.253723124,0.002419258
CLPX,-0.253733112,0.002343441
NBEAL2,-0.253761098,0.000208548
MIS12,-0.253958489,0.001074654
ARL8B,-0.254033399,0.000199427
AP5S1,-0.25416736,0.012578711
TMEM168,-0.254172565,0.011983726
SYNE1,-0.254254736,0.001687294
WDR59,-0.254350931,0.023229937
RBM12,-0.25443175,0.002364082
UTP18,-0.2544675,0.045827036
ADAP2,-0.254650732,0.000856389
MAP3K5,-0.254763496,0.039945523
MAN2A1,-0.254792021,7.09E-05
ZC2HC1A,-0.254870296,0.002511494
ILVBL,-0.254992681,0.000220499
PPP1R8,-0.255053783,0.070144712
ATM,-0.255063537,0.018457316
PTGES2,-0.255261985,0.000255548
LSM14B,-0.255397835,0.028646189
ALDH3A2,-0.25553194,0.001260584
DIS3,-0.255564184,0.000416213
ZHX2,-0.255590194,0.0209139
MON1B,-0.255605145,0.000501481
PTPN1,-0.255699461,0.000370136
GPALPP1,-0.255858675,0.024980561
ADAM15,-0.256111329,0.019619848
DIP2B,-0.256175297,0.058197305
ACTR8,-0.256175543,0.001230682
TSPYL5,-0.25635047,0.001620839
SMTN,-0.256395925,0.009944829
RAPGEFL1,-0.256721958,0.000136633
MRPL27,-0.256781082,0.033637621
SIL1,-0.256877152,0.000641955
HIP1R,-0.257033439,0.002823348
TTC19,-0.257097363,0.011315841
ARHGEF18,-0.257108011,0.002940125
NCOA6,-0.257182721,0.001762717
DCAF5,-0.257217425,0.002526635
EHD3,-0.257270541,0.003823042
FLCN,-0.257313452,0.005787246
RNF149,-0.257389521,0.038697628
PRSS8,-0.257612858,0.029979439
HMG20B,-0.257722388,0.002854393
RPL17,-0.257811533,0.004664786
OARD1,-0.257881327,0.005140527
PSCA,-0.257945231,0.075369857
CTNNB1,-0.257962094,0.000522597
SF3A1,-0.257985278,0.003108214
PHF2,-0.258062197,0.005132869
ARHGAP17,-0.25819491,0.038560962
GPAM,-0.258285361,0.000486663
STAT6,-0.258355189,0.002039885
ACOT8,-0.258366099,0.002456962
RAE1,-0.258369594,0.004042127
RPS19BP1,-0.258377382,0.007612146
VAMP2,-0.258404735,0.211660062
PARVB,-0.258664794,0.018960998
ARFIP2,-0.258727645,0.005199262
FBH1,-0.258828084,0.004683485
CHD3,-0.258891081,0.003296424
LETMD1,-0.25894093,0.000990264
IL37,-0.259003788,0.035616738
CCDC80,-0.259043663,0.001543215
PLEKHA1,-0.259044084,0.057881085
EIF3L,-0.259088097,0.000628018
SLC25A46,-0.259103641,0.024246448
RRN3,-0.25922795,0.00129528
RRP7A,-0.259242659,0.00632454
COQ10B,-0.259316924,0.004664786
RASIP1,-0.259321915,0.030764554
MBNL2,-0.259333773,0.001911585
GLB1L2,-0.259346633,0.010677763
TP53BP1,-0.259500989,0.010214826
TMPO,-0.259528339,8.74E-05
CNTNAP3;CNTNAP3B,-0.259941147,0.000145499
RASA1,-0.259982573,0.004055618
USP48,-0.259999752,0.000366054
PACS1,-0.260036992,0.007363577
GAS7,-0.260154336,0.013685635
POMGNT2,-0.260266629,0.000259173
NDUFA10,-0.260270556,0.001251269
DDX52,-0.260283419,0.001177592
DICER1,-0.260347577,0.049554846
SEPSECS,-0.260362916,0.001566126
SMG5,-0.26052265,0.00270184
ABR,-0.260657376,0.002217275
PLIN1,-0.260724405,0.21508368
PKN2,-0.26075363,0.112325626
ATL1,-0.260973782,0.000241645
PI4K2A,-0.261017049,6.46E-06
ARID2,-0.261189199,0.014542227
RUFY3,-0.261295963,0.003284896
PURB,-0.261301657,0.003369611
GJB2,-0.261447043,0.002325932
ETF1,-0.261529729,0.002574022
PLOD3,-0.261543076,0.004288204
MYO1D,-0.261552653,0.000730101
DNAJB12,-0.261648383,0.005097534
CYP3A5,-0.261695745,0.014072529
HMGB1,-0.261787223,0.000644939
AFDN,-0.261861567,0.002028859
MRPS28,-0.262086684,0.001741237
HSPG2,-0.262174405,0.000872569
VAPB,-0.262384261,0.000185529
AGTRAP,-0.26247019,0.009315908
VPS11,-0.262723326,0.00037022
ATCAY;BNIP2,-0.262952564,0.038952473
ATP10D,-0.262971273,0.002168481
MDC1,-0.263001133,0.002352047
SCYL3,-0.263017268,0.001323648
PGAP4,-0.263115131,0.032027246
GAS6,-0.263116402,0.007690243
DECR2,-0.263161453,0.012664781
