Accession,Description
Q9WTP7,"GTP:AMP phosphotransferase AK3, mitochondrial OS=Mus musculus GN=Ak3 PE=1 SV=3 - [KAD3_MOUSE]"
Q91XM9,Disks large homolog 2 OS=Mus musculus GN=Dlg2 PE=1 SV=2 - [DLG2_MOUSE]
D6REG4,Glyoxylate reductase/hydroxypyruvate reductase OS=Mus musculus GN=Grhpr PE=3 SV=1 - [D6REG4_MOUSE]
E9Q035,Protein Gm20425 OS=Mus musculus GN=Gm20425 PE=4 SV=1 - [E9Q035_MOUSE]
Q924D0,"Reticulon-4-interacting protein 1, mitochondrial OS=Mus musculus GN=Rtn4ip1 PE=1 SV=2 - [RT4I1_MOUSE]"
E9PX29,Protein Sptbn4 OS=Mus musculus GN=Sptbn4 PE=1 SV=1 - [E9PX29_MOUSE]
Q91W97,Putative hexokinase HKDC1 OS=Mus musculus GN=Hkdc1 PE=2 SV=1 - [HKDC1_MOUSE]
Q8BMF3,"NADP-dependent malic enzyme, mitochondrial OS=Mus musculus GN=Me3 PE=1 SV=2 - [MAON_MOUSE]"
B2M1R6,Heterogeneous nuclear ribonucleoprotein K OS=Mus musculus GN=Hnrnpk PE=2 SV=1 - [B2M1R6_MOUSE]
Q91W92,Cdc42 effector protein 1 OS=Mus musculus GN=Cdc42ep1 PE=1 SV=1 - [BORG5_MOUSE]
O88322,Nidogen-2 OS=Mus musculus GN=Nid2 PE=1 SV=2 - [NID2_MOUSE]
G3UY75,Protein-tyrosine-phosphatase OS=Mus musculus GN=Ptprd PE=4 SV=1 - [G3UY75_MOUSE]
Q9D1E6,Tubulin-folding cofactor B OS=Mus musculus GN=Tbcb PE=1 SV=2 - [TBCB_MOUSE]
E9PZC3,Flavin reductase (NADPH) OS=Mus musculus GN=Blvrb PE=4 SV=1 - [E9PZC3_MOUSE]
P01831,Thy-1 membrane glycoprotein OS=Mus musculus GN=Thy1 PE=1 SV=1 - [THY1_MOUSE]
P70362,Ubiquitin fusion degradation protein 1 homolog OS=Mus musculus GN=Ufd1l PE=1 SV=2 - [UFD1_MOUSE]
Q8CBY0,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial OS=Mus musculus GN=Gatc PE=2 SV=1 - [GATC_MOUSE]"
Q61548,Clathrin coat assembly protein AP180 OS=Mus musculus GN=Snap91 PE=1 SV=1 - [AP180_MOUSE]
E9Q9A3,Clathrin coat assembly protein AP180 OS=Mus musculus GN=Snap91 PE=1 SV=2 - [E9Q9A3_MOUSE]
O88844,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Mus musculus GN=Idh1 PE=1 SV=2 - [IDHC_MOUSE]
Q8CAK1,"Putative transferase CAF17 homolog, mitochondrial OS=Mus musculus GN=Iba57 PE=1 SV=1 - [CAF17_MOUSE]"
P12367,cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Mus musculus GN=Prkar2a PE=1 SV=2 - [KAP2_MOUSE]
P70349,Histidine triad nucleotide-binding protein 1 OS=Mus musculus GN=Hint1 PE=1 SV=3 - [HINT1_MOUSE]
E9QPX3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Mus musculus GN=Ndufs4 PE=4 SV=1 - [E9QPX3_MOUSE]"
Q99KB8,"Hydroxyacylglutathione hydrolase, mitochondrial OS=Mus musculus GN=Hagh PE=1 SV=2 - [GLO2_MOUSE]"
B1AQX9,SRC kinase-signaling inhibitor 1 OS=Mus musculus GN=Srcin1 PE=1 SV=1 - [B1AQX9_MOUSE]
Q9QYR9,"Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus GN=Acot2 PE=1 SV=2 - [ACOT2_MOUSE]"
Q8R086,"Sulfite oxidase, mitochondrial OS=Mus musculus GN=Suox PE=2 SV=2 - [SUOX_MOUSE]"
Q9CRC6,UPF0693 protein C10orf32 homolog OS=Mus musculus PE=1 SV=1 - [CJ032_MOUSE]
Q9D8X2,Coiled-coil domain-containing protein 124 OS=Mus musculus GN=Ccdc124 PE=2 SV=1 - [CC124_MOUSE]
P50171,Estradiol 17-beta-dehydrogenase 8 OS=Mus musculus GN=Hsd17b8 PE=1 SV=2 - [DHB8_MOUSE]
Q8BH86,"UPF0317 protein C14orf159 homolog, mitochondrial OS=Mus musculus PE=1 SV=1 - [CN159_MOUSE]"
D3YZP9,Coiled-coil domain-containing protein 6 OS=Mus musculus GN=Ccdc6 PE=1 SV=1 - [CCDC6_MOUSE]
Q3TMH2,Secernin-3 OS=Mus musculus GN=Scrn3 PE=1 SV=1 - [SCRN3_MOUSE]
H3BKL5,"3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus GN=Acaa1a PE=1 SV=1 - [H3BKL5_MOUSE]"
Q64105,Sepiapterin reductase OS=Mus musculus GN=Spr PE=1 SV=1 - [SPRE_MOUSE]
P63242,Eukaryotic translation initiation factor 5A-1 OS=Mus musculus GN=Eif5a PE=1 SV=2 - [IF5A1_MOUSE]
Q6RHR9,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 OS=Mus musculus GN=Magi1 PE=1 SV=1 - [MAGI1_MOUSE]"
Q9JKR6,Hypoxia up-regulated protein 1 OS=Mus musculus GN=Hyou1 PE=1 SV=1 - [HYOU1_MOUSE]
J3QPG5,Prosaposin OS=Mus musculus GN=Psap PE=4 SV=1 - [J3QPG5_MOUSE]
Q9DB34,Charged multivesicular body protein 2a OS=Mus musculus GN=Chmp2a PE=1 SV=1 - [CHM2A_MOUSE]
Q9JJV2,Profilin-2 OS=Mus musculus GN=Pfn2 PE=1 SV=3 - [PROF2_MOUSE]
Q9CXT8,Mitochondrial-processing peptidase subunit beta OS=Mus musculus GN=Pmpcb PE=2 SV=1 - [MPPB_MOUSE]
P40124,Adenylyl cyclase-associated protein 1 OS=Mus musculus GN=Cap1 PE=1 SV=4 - [CAP1_MOUSE]
Q9CQ75,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Mus musculus GN=Ndufa2 PE=1 SV=3 - [NDUA2_MOUSE]
Q91WK0,Leucine-rich repeat flightless-interacting protein 2 OS=Mus musculus GN=Lrrfip2 PE=1 SV=1 - [LRRF2_MOUSE]
Q91W90,Thioredoxin domain-containing protein 5 OS=Mus musculus GN=Txndc5 PE=1 SV=2 - [TXND5_MOUSE]
P48774,Glutathione S-transferase Mu 5 OS=Mus musculus GN=Gstm5 PE=1 SV=1 - [GSTM5_MOUSE]
Q6ZWQ9,MCG5400 OS=Mus musculus GN=Myl12a PE=1 SV=1 - [Q6ZWQ9_MOUSE]
Q9R1P4,Proteasome subunit alpha type-1 OS=Mus musculus GN=Psma1 PE=1 SV=1 - [PSA1_MOUSE]
Q8VCW8,"Acyl-CoA synthetase family member 2, mitochondrial OS=Mus musculus GN=Acsf2 PE=1 SV=1 - [ACSF2_MOUSE]"
P70460,Vasodilator-stimulated phosphoprotein OS=Mus musculus GN=Vasp PE=1 SV=4 - [VASP_MOUSE]
F8WHW6,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma OS=Mus musculus GN=Pip5k1c PE=1 SV=1 - [F8WHW6_MOUSE]
Q91WK5,"Glycine cleavage system H protein, mitochondrial OS=Mus musculus GN=Gcsh PE=1 SV=2 - [GCSH_MOUSE]"
Q8R146,Acylamino-acid-releasing enzyme OS=Mus musculus GN=Apeh PE=2 SV=3 - [APEH_MOUSE]
Q9DCT2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Mus musculus GN=Ndufs3 PE=1 SV=2 - [NDUS3_MOUSE]"
Q9CR26,Vacuolar protein sorting-associated protein VTA1 homolog OS=Mus musculus GN=Vta1 PE=1 SV=1 - [VTA1_MOUSE]
Q91VR5,ATP-dependent RNA helicase DDX1 OS=Mus musculus GN=Ddx1 PE=1 SV=1 - [DDX1_MOUSE]
P56375,Acylphosphatase-2 OS=Mus musculus GN=Acyp2 PE=2 SV=2 - [ACYP2_MOUSE]
Q62433,Protein NDRG1 OS=Mus musculus GN=Ndrg1 PE=1 SV=1 - [NDRG1_MOUSE]
Q8R5C5,Beta-centractin OS=Mus musculus GN=Actr1b PE=1 SV=1 - [ACTY_MOUSE]
A2AKU9,ATP synthase subunit gamma OS=Mus musculus GN=Atp5c1 PE=1 SV=1 - [A2AKU9_MOUSE]
Q9JJU8,SH3 domain-binding glutamic acid-rich-like protein OS=Mus musculus GN=Sh3bgrl PE=3 SV=1 - [SH3L1_MOUSE]
E9PZ91,Bis(5'-adenosyl)-triphosphatase OS=Mus musculus GN=Fhit PE=4 SV=1 - [E9PZ91_MOUSE]
P10493,Nidogen-1 OS=Mus musculus GN=Nid1 PE=1 SV=2 - [NID1_MOUSE]
P15327,Bisphosphoglycerate mutase OS=Mus musculus GN=Bpgm PE=2 SV=2 - [PMGE_MOUSE]
Q7M750,Opalin OS=Mus musculus GN=Opalin PE=1 SV=1 - [OPALI_MOUSE]
P14094,Sodium/potassium-transporting ATPase subunit beta-1 OS=Mus musculus GN=Atp1b1 PE=1 SV=1 - [AT1B1_MOUSE]
Q9CX86,Heterogeneous nuclear ribonucleoprotein A0 OS=Mus musculus GN=Hnrnpa0 PE=1 SV=1 - [ROA0_MOUSE]
Q99KE1,"NAD-dependent malic enzyme, mitochondrial OS=Mus musculus GN=Me2 PE=2 SV=1 - [MAOM_MOUSE]"
Q9D0E3,LysM and putative peptidoglycan-binding domain-containing protein 1 OS=Mus musculus GN=Lysmd1 PE=2 SV=1 - [LYSM1_MOUSE]
Q8C167,Prolyl endopeptidase-like OS=Mus musculus GN=Prepl PE=2 SV=1 - [PPCEL_MOUSE]
E9QJT5,Acylphosphatase OS=Mus musculus GN=Acyp1 PE=3 SV=1 - [E9QJT5_MOUSE]
Q9CYW4,Haloacid dehalogenase-like hydrolase domain-containing protein 3 OS=Mus musculus GN=Hdhd3 PE=1 SV=1 - [HDHD3_MOUSE]
F8VPM7,ELKS/Rab6-interacting/CAST family member 1 OS=Mus musculus GN=Erc1 PE=4 SV=1 - [F8VPM7_MOUSE]
P62077,Mitochondrial import inner membrane translocase subunit Tim8 B OS=Mus musculus GN=Timm8b PE=3 SV=1 - [TIM8B_MOUSE]
Q9Z1S5,Neuronal-specific septin-3 OS=Mus musculus GN=Sept3 PE=1 SV=2 - [SEPT3_MOUSE]
Q8R105,Vacuolar protein sorting-associated protein 37C OS=Mus musculus GN=Vps37c PE=2 SV=1 - [VP37C_MOUSE]
P02089,Hemoglobin subunit beta-2 OS=Mus musculus GN=Hbb-b2 PE=1 SV=2 - [HBB2_MOUSE]
O08972,"Dimethylarginine dimethylaminohydrolase 2, isoform CRA_a OS=Mus musculus GN=Ddah2 PE=2 SV=1 - [O08972_MOUSE]"
P27573,Myelin protein P0 OS=Mus musculus GN=Mpz PE=1 SV=1 - [MYP0_MOUSE]
P62264,40S ribosomal protein S14 OS=Mus musculus GN=Rps14 PE=2 SV=3 - [RS14_MOUSE]
Q9D1G1,Ras-related protein Rab-1B OS=Mus musculus GN=Rab1b PE=1 SV=1 - [RAB1B_MOUSE]
Q8BK30,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial OS=Mus musculus GN=Ndufv3 PE=2 SV=1 - [NDUV3_MOUSE]"
Q3U422,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial OS=Mus musculus GN=Ndufv3 PE=2 SV=1 - [Q3U422_MOUSE]"
Q9JMH6,"Thioredoxin reductase 1, cytoplasmic OS=Mus musculus GN=Txnrd1 PE=1 SV=3 - [TRXR1_MOUSE]"
Q62422,Osteoclast-stimulating factor 1 OS=Mus musculus GN=Ostf1 PE=1 SV=2 - [OSTF1_MOUSE]
Q6PEV3,WAS/WASL-interacting protein family member 2 OS=Mus musculus GN=Wipf2 PE=2 SV=1 - [WIPF2_MOUSE]
Q8K298,Actin-binding protein anillin OS=Mus musculus GN=Anln PE=1 SV=2 - [ANLN_MOUSE]
P62835,Ras-related protein Rap-1A OS=Mus musculus GN=Rap1a PE=2 SV=1 - [RAP1A_MOUSE]
Q99JI6,Ras-related protein Rap-1b OS=Mus musculus GN=Rap1b PE=2 SV=2 - [RAP1B_MOUSE]
Q03157,Amyloid-like protein 1 OS=Mus musculus GN=Aplp1 PE=1 SV=1 - [APLP1_MOUSE]
O35864,COP9 signalosome complex subunit 5 OS=Mus musculus GN=Cops5 PE=1 SV=3 - [CSN5_MOUSE]
Q07417,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acads PE=1 SV=2 - [ACADS_MOUSE]"
G3XA10,"Heterogeneous nuclear ribonucleoprotein U, isoform CRA_b OS=Mus musculus GN=Gm28062 PE=4 SV=1 - [G3XA10_MOUSE]"
Q3TTY5,"Keratin, type II cytoskeletal 2 epidermal OS=Mus musculus GN=Krt2 PE=1 SV=1 - [K22E_MOUSE]"
Q8BQ47,Protein canopy homolog 4 OS=Mus musculus GN=Cnpy4 PE=1 SV=1 - [CNPY4_MOUSE]
Q9CWK8,Sorting nexin-2 OS=Mus musculus GN=Snx2 PE=1 SV=2 - [SNX2_MOUSE]
Q9WUR9,"Adenylate kinase 4, mitochondrial OS=Mus musculus GN=Ak4 PE=1 SV=1 - [KAD4_MOUSE]"
Q8CBY8,Dynactin subunit 4 OS=Mus musculus GN=Dctn4 PE=1 SV=1 - [DCTN4_MOUSE]
E9Q8N8,Electrogenic sodium bicarbonate cotransporter 1 OS=Mus musculus GN=Slc4a4 PE=1 SV=1 - [E9Q8N8_MOUSE]
Q6PFB2,Rcc1 protein OS=Mus musculus GN=Rcc1 PE=2 SV=1 - [Q6PFB2_MOUSE]
Q8C0M9,Isoaspartyl peptidase/L-asparaginase OS=Mus musculus GN=Asrgl1 PE=1 SV=1 - [ASGL1_MOUSE]
Q6PGH2,Hematological and neurological expressed 1-like protein OS=Mus musculus GN=Hn1l PE=1 SV=1 - [HN1L_MOUSE]
Q9CQE5,Regulator of G-protein signaling 10 OS=Mus musculus GN=Rgs10 PE=2 SV=1 - [RGS10_MOUSE]
Q8BHG2,UPF0587 protein C1orf123 homolog OS=Mus musculus PE=2 SV=1 - [CA123_MOUSE]
B7FAU9,"Filamin, alpha OS=Mus musculus GN=Flna PE=4 SV=1 - [B7FAU9_MOUSE]"
Q9CPX6,Ubiquitin-like-conjugating enzyme ATG3 OS=Mus musculus GN=Atg3 PE=1 SV=1 - [ATG3_MOUSE]
A2AE27,AMP deaminase 2 OS=Mus musculus GN=Ampd2 PE=4 SV=1 - [A2AE27_MOUSE]
P47941,Crk-like protein OS=Mus musculus GN=Crkl PE=1 SV=2 - [CRKL_MOUSE]
P27661,Histone H2AX OS=Mus musculus GN=H2afx PE=1 SV=2 - [H2AX_MOUSE]
Q8R361,Rab11 family-interacting protein 5 OS=Mus musculus GN=Rab11fip5 PE=1 SV=2 - [RFIP5_MOUSE]
Q9WTP6,"Adenylate kinase 2, mitochondrial OS=Mus musculus GN=Ak2 PE=1 SV=5 - [KAD2_MOUSE]"
Q9D7S9,Charged multivesicular body protein 5 OS=Mus musculus GN=Chmp5 PE=2 SV=1 - [CHMP5_MOUSE]
Q62465,Synaptic vesicle membrane protein VAT-1 homolog OS=Mus musculus GN=Vat1 PE=1 SV=3 - [VAT1_MOUSE]
O55137,Acyl-coenzyme A thioesterase 1 OS=Mus musculus GN=Acot1 PE=1 SV=1 - [ACOT1_MOUSE]
P47212,Galanin peptides OS=Mus musculus GN=Gal PE=2 SV=1 - [GALA_MOUSE]
Q9QXS1,Plectin OS=Mus musculus GN=Plec PE=1 SV=3 - [PLEC_MOUSE]
P26040,Ezrin OS=Mus musculus GN=Ezr PE=1 SV=3 - [EZRI_MOUSE]
Q8R5H6,Wiskott-Aldrich syndrome protein family member 1 OS=Mus musculus GN=Wasf1 PE=1 SV=2 - [WASF1_MOUSE]
Q8BGN3,Ectonucleotide pyrophosphatase/phosphodiesterase family member 6 OS=Mus musculus GN=Enpp6 PE=2 SV=1 - [ENPP6_MOUSE]
Q9D6Y7,Mitochondrial peptide methionine sulfoxide reductase OS=Mus musculus GN=Msra PE=1 SV=1 - [MSRA_MOUSE]
O35685,Nuclear migration protein nudC OS=Mus musculus GN=Nudc PE=1 SV=1 - [NUDC_MOUSE]
Q8BGD9,Eukaryotic translation initiation factor 4B OS=Mus musculus GN=Eif4b PE=1 SV=1 - [IF4B_MOUSE]
Q9D2V7,Coronin-7 OS=Mus musculus GN=Coro7 PE=2 SV=2 - [CORO7_MOUSE]
D3Z285,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial (Fragment) OS=Mus musculus GN=Nfu1 PE=4 SV=1 - [D3Z285_MOUSE]"
P51150,Ras-related protein Rab-7a OS=Mus musculus GN=Rab7a PE=1 SV=2 - [RAB7A_MOUSE]
Q8K4Z3,NAD(P)H-hydrate epimerase OS=Mus musculus GN=Apoa1bp PE=1 SV=1 - [NNRE_MOUSE]
Q9D898,Actin-related protein 2/3 complex subunit 5-like protein OS=Mus musculus GN=Arpc5l PE=1 SV=1 - [ARP5L_MOUSE]
Q8CI94,"Glycogen phosphorylase, brain form OS=Mus musculus GN=Pygb PE=1 SV=3 - [PYGB_MOUSE]"
O08915,AH receptor-interacting protein OS=Mus musculus GN=Aip PE=1 SV=1 - [AIP_MOUSE]
O54833,Casein kinase II subunit alpha' OS=Mus musculus GN=Csnk2a2 PE=2 SV=1 - [CSK22_MOUSE]
Q9WU84,Copper chaperone for superoxide dismutase OS=Mus musculus GN=Ccs PE=2 SV=1 - [CCS_MOUSE]
Q9QXY6,EH domain-containing protein 3 OS=Mus musculus GN=Ehd3 PE=1 SV=2 - [EHD3_MOUSE]
Q3TWV4,AP-2 complex subunit mu OS=Mus musculus GN=Ap2m1 PE=2 SV=1 - [Q3TWV4_MOUSE]
Q9WUD1,STIP1 homology and U box-containing protein 1 OS=Mus musculus GN=Stub1 PE=1 SV=1 - [CHIP_MOUSE]
Q8R0N6,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial OS=Mus musculus GN=Adhfe1 PE=1 SV=2 - [HOT_MOUSE]"
E9QK48,Echinoderm microtubule-associated protein-like 2 OS=Mus musculus GN=Eml2 PE=4 SV=1 - [E9QK48_MOUSE]
Q62059,Versican core protein OS=Mus musculus GN=Vcan PE=1 SV=2 - [CSPG2_MOUSE]
P61164,Alpha-centractin OS=Mus musculus GN=Actr1a PE=2 SV=1 - [ACTZ_MOUSE]
P19096,Fatty acid synthase OS=Mus musculus GN=Fasn PE=1 SV=2 - [FAS_MOUSE]
P00493,Hypoxanthine-guanine phosphoribosyltransferase OS=Mus musculus GN=Hprt1 PE=1 SV=3 - [HPRT_MOUSE]
A2AWI9,Endophilin-B2 OS=Mus musculus GN=Sh3glb2 PE=4 SV=1 - [A2AWI9_MOUSE]
Q8VHL1,Histone-lysine N-methyltransferase SETD7 OS=Mus musculus GN=Setd7 PE=2 SV=2 - [SETD7_MOUSE]
P62320,Small nuclear ribonucleoprotein Sm D3 OS=Mus musculus GN=Snrpd3 PE=1 SV=1 - [SMD3_MOUSE]
Q62426,Cystatin-B OS=Mus musculus GN=Cstb PE=1 SV=1 - [CYTB_MOUSE]
Q9CR98,Protein FAM136A OS=Mus musculus GN=Fam136a PE=2 SV=1 - [F136A_MOUSE]
P62823,Ras-related protein Rab-3C OS=Mus musculus GN=Rab3c PE=1 SV=1 - [RAB3C_MOUSE]
Q9D394,Protein RUFY3 OS=Mus musculus GN=Rufy3 PE=1 SV=1 - [RUFY3_MOUSE]
Q99LP6,"GrpE protein homolog 1, mitochondrial OS=Mus musculus GN=Grpel1 PE=1 SV=1 - [GRPE1_MOUSE]"
Q8VHM5,Heterogeneous nuclear ribonucleoprotein R OS=Mus musculus GN=Hnrnpr PE=2 SV=1 - [Q8VHM5_MOUSE]
Q91X97,Neurocalcin-delta OS=Mus musculus GN=Ncald PE=1 SV=4 - [NCALD_MOUSE]
E9PV73,Neuron-specific calcium-binding protein hippocalcin (Fragment) OS=Mus musculus GN=Hpca PE=4 SV=1 - [E9PV73_MOUSE]
Q9R0P5,Destrin OS=Mus musculus GN=Dstn PE=1 SV=3 - [DEST_MOUSE]
Q8BJU9,"Peptide chain release factor 1-like, mitochondrial OS=Mus musculus GN=Mtrf1l PE=2 SV=1 - [RF1ML_MOUSE]"
J3QPZ8,Eukaryotic translation initiation factor 1 (Fragment) OS=Mus musculus GN=Eif1 PE=4 SV=1 - [J3QPZ8_MOUSE]
Q3U1J4,DNA damage-binding protein 1 OS=Mus musculus GN=Ddb1 PE=1 SV=2 - [DDB1_MOUSE]
P28661,Septin-4 OS=Mus musculus GN=Sept4 PE=1 SV=1 - [SEPT4_MOUSE]
P57759,Endoplasmic reticulum resident protein 29 OS=Mus musculus GN=Erp29 PE=1 SV=2 - [ERP29_MOUSE]
Q80YN3,Breast carcinoma-amplified sequence 1 homolog OS=Mus musculus GN=Bcas1 PE=2 SV=3 - [BCAS1_MOUSE]
P80560,Receptor-type tyrosine-protein phosphatase N2 OS=Mus musculus GN=Ptprn2 PE=1 SV=2 - [PTPR2_MOUSE]
Q8QZR5,Alanine aminotransferase 1 OS=Mus musculus GN=Gpt PE=2 SV=3 - [ALAT1_MOUSE]
D3Z4T6,Neuronal growth regulator 1 OS=Mus musculus GN=Negr1 PE=4 SV=1 - [D3Z4T6_MOUSE]
Q9JI46,Diphosphoinositol polyphosphate phosphohydrolase 1 OS=Mus musculus GN=Nudt3 PE=1 SV=1 - [NUDT3_MOUSE]
Q9JKY5,Huntingtin-interacting protein 1-related protein OS=Mus musculus GN=Hip1r PE=1 SV=2 - [HIP1R_MOUSE]
B2RUJ5,Amyloid beta A4 precursor protein-binding family A member 1 OS=Mus musculus GN=Apba1 PE=1 SV=2 - [APBA1_MOUSE]
Q8JZX9,Cdc42 effector protein 2 OS=Mus musculus GN=Cdc42ep2 PE=2 SV=1 - [BORG1_MOUSE]
Q3TES0,IQ motif and SEC7 domain-containing protein 3 OS=Mus musculus GN=Iqsec3 PE=2 SV=1 - [IQEC3_MOUSE]
P51855,Glutathione synthetase OS=Mus musculus GN=Gss PE=2 SV=1 - [GSHB_MOUSE]
Q8R574,Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Mus musculus GN=Prpsap2 PE=1 SV=1 - [KPRB_MOUSE]
Q9CY46,"LSM4 homolog, U6 small nuclear RNA associated (S, cerevisiae), isoform CRA_b OS=Mus musculus GN=Lsm4 PE=2 SV=1 - [Q9CY46_MOUSE]"
D3YZG8,Probable bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2 OS=Mus musculus GN=Mthfd2l PE=3 SV=1 - [MTD2L_MOUSE]
Q78ZM0,Sorting nexin 3 OS=Mus musculus GN=Snx3 PE=2 SV=1 - [Q78ZM0_MOUSE]
P63011,Ras-related protein Rab-3A OS=Mus musculus GN=Rab3a PE=1 SV=1 - [RAB3A_MOUSE]
Q921H9,Cytochrome c oxidase assembly factor 7 OS=Mus musculus GN=Coa7 PE=2 SV=1 - [COA7_MOUSE]
Q9Z1Z2,Serine-threonine kinase receptor-associated protein OS=Mus musculus GN=Strap PE=1 SV=2 - [STRAP_MOUSE]
Q3UH68,LIM and calponin homology domains-containing protein 1 OS=Mus musculus GN=Limch1 PE=1 SV=2 - [LIMC1_MOUSE]
Q61233,Plastin-2 OS=Mus musculus GN=Lcp1 PE=1 SV=4 - [PLSL_MOUSE]
G5E8G0,"Heterogeneous nuclear ribonucleoprotein D, isoform CRA_b OS=Mus musculus GN=Hnrnpd PE=4 SV=1 - [G5E8G0_MOUSE]"
Q60668,Heterogeneous nuclear ribonucleoprotein D0 OS=Mus musculus GN=Hnrnpd PE=1 SV=2 - [HNRPD_MOUSE]
Q71RI9,Kynurenine--oxoglutarate transaminase 3 OS=Mus musculus GN=Ccbl2 PE=1 SV=1 - [KAT3_MOUSE]
O55234,Proteasome subunit beta type-5 OS=Mus musculus GN=Psmb5 PE=1 SV=3 - [PSB5_MOUSE]
Q9EPL2,Calsyntenin-1 OS=Mus musculus GN=Clstn1 PE=1 SV=1 - [CSTN1_MOUSE]
Q80V42,Carboxypeptidase M OS=Mus musculus GN=Cpm PE=2 SV=2 - [CBPM_MOUSE]
Q3UJP5,Protein C8orf37 homolog OS=Mus musculus PE=1 SV=1 - [CH037_MOUSE]
Q8VHK1,Caskin-2 OS=Mus musculus GN=Caskin2 PE=1 SV=3 - [CSKI2_MOUSE]
Q62523,Zyxin OS=Mus musculus GN=Zyx PE=1 SV=2 - [ZYX_MOUSE]
Q9QYX7,Protein piccolo OS=Mus musculus GN=Pclo PE=1 SV=4 - [PCLO_MOUSE]
Q99MR8,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Mus musculus GN=Mccc1 PE=1 SV=2 - [MCCA_MOUSE]"
Q64525,Histone H2B type 2-B OS=Mus musculus GN=Hist2h2bb PE=1 SV=3 - [H2B2B_MOUSE]
Q8CGP0,Histone H2B type 3-B OS=Mus musculus GN=Hist3h2bb PE=1 SV=3 - [H2B3B_MOUSE]
Q61206,Platelet-activating factor acetylhydrolase IB subunit beta OS=Mus musculus GN=Pafah1b2 PE=1 SV=2 - [PA1B2_MOUSE]
Q9R1Z8,Vinexin OS=Mus musculus GN=Sorbs3 PE=1 SV=1 - [VINEX_MOUSE]
Q3U5Q7,"UMP-CMP kinase 2, mitochondrial OS=Mus musculus GN=Cmpk2 PE=2 SV=2 - [CMPK2_MOUSE]"
Q9CQA6,Coiled-coil-helix-coiled-coil-helix domain-containing protein 1 OS=Mus musculus GN=Chchd1 PE=3 SV=1 - [CHCH1_MOUSE]
P47809,Dual specificity mitogen-activated protein kinase kinase 4 OS=Mus musculus GN=Map2k4 PE=1 SV=2 - [MP2K4_MOUSE]
E9Q616,Protein Ahnak OS=Mus musculus GN=Ahnak PE=1 SV=1 - [E9Q616_MOUSE]
Q8VDC0,"Probable leucine--tRNA ligase, mitochondrial OS=Mus musculus GN=Lars2 PE=1 SV=1 - [SYLM_MOUSE]"
Q80WM4,Hyaluronan and proteoglycan link protein 4 OS=Mus musculus GN=Hapln4 PE=2 SV=2 - [HPLN4_MOUSE]
Q9CQ45,Neudesin OS=Mus musculus GN=Nenf PE=1 SV=1 - [NENF_MOUSE]
A0A0A6YY34,Glutathione peroxidase 1 OS=Mus musculus GN=Gpx1 PE=4 SV=1 - [A0A0A6YY34_MOUSE]
Q9D8U8,Sorting nexin-5 OS=Mus musculus GN=Snx5 PE=1 SV=1 - [SNX5_MOUSE]
Q6P5H2,Nestin OS=Mus musculus GN=Nes PE=1 SV=1 - [NEST_MOUSE]
Q70IV5,Synemin OS=Mus musculus GN=Synm PE=1 SV=2 - [SYNEM_MOUSE]
K3W4T3,V-type proton ATPase subunit a OS=Mus musculus GN=Atp6v0a1 PE=1 SV=1 - [K3W4T3_MOUSE]
P28738,Kinesin heavy chain isoform 5C OS=Mus musculus GN=Kif5c PE=1 SV=3 - [KIF5C_MOUSE]
P10639,Thioredoxin OS=Mus musculus GN=Txn PE=1 SV=3 - [THIO_MOUSE]
P60521,Gamma-aminobutyric acid receptor-associated protein-like 2 OS=Mus musculus GN=Gabarapl2 PE=1 SV=1 - [GBRL2_MOUSE]
O08583,THO complex subunit 4 OS=Mus musculus GN=Alyref PE=1 SV=3 - [THOC4_MOUSE]
D3YXG6,Actin-related protein 2/3 complex subunit 2 OS=Mus musculus GN=Arpc2 PE=4 SV=1 - [D3YXG6_MOUSE]
Q64442,Sorbitol dehydrogenase OS=Mus musculus GN=Sord PE=1 SV=3 - [DHSO_MOUSE]
Q5SUH6,Clathrin interactor 1 OS=Mus musculus GN=Clint1 PE=4 SV=1 - [Q5SUH6_MOUSE]
Q9JM14,"5'(3')-deoxyribonucleotidase, cytosolic type OS=Mus musculus GN=Nt5c PE=1 SV=1 - [NT5C_MOUSE]"
