"","HGNC.symbol","MGI.symbol","type"
"972","DUOX1","Duox1","metabolite interconversion enzyme"
"973","DUOX2","Duox2","metabolite interconversion enzyme"
"974","DUSP18","Dusp18","protein modifying enzyme"
"975","DYM","Dym","unclassified"
"976","DYNC1I2","Dync1i2","cytoskeletal"
"977","DYSF","Dysf","unclassified"
"978","EBI3","Ebi3","other intercellular signal"
"979","ECM1","Ecm1","other intercellular signal"
"980","EDA","Eda","other intercellular signal"
"981","EDA2R","Eda2r","other transmembrane signal receptor"
"982","EDAR","Edar","other transmembrane signal receptor"
"983","EDF1","Edf1","unclassified"
"984","EDIL3","Edil3","metabolite interconversion enzyme"
"985","EDN1","Edn1","peptide hormone"
"986","EDN2","Edn2","peptide hormone"
"987","EDN3","Edn3","peptide hormone"
"988","EDNRA","Ednra","other transmembrane signal receptor"
"989","EDNRB","Ednrb","other intercellular signal"
"990","EFEMP1","Efemp1","extracellular matrix"
"991","EFEMP2","Efemp2","extracellular matrix"
"992","EFNA1","Efna1","membrane-bound signaling molecule"
"993","EFNA2","Efna2","membrane-bound signaling molecule"
"994","EFNA3","Efna3","membrane-bound signaling molecule"
"995","EFNA4","Efna4","membrane-bound signaling molecule"
"996","EFNA5","Efna5","membrane-bound signaling molecule"
"997","EFNB1","Efnb1","membrane-bound signaling molecule"
"998","EFNB2","Efnb2","membrane-bound signaling molecule"
"999","EFNB3","Efnb3","membrane-bound signaling molecule"
"1000","EGF","Egf","other transmembrane signal receptor"
"1001","EGFL8","Egfl8","other intercellular signal"
"1002","EGFR","Egfr","tyrosine protein kinase receptor"
"1003","EGLN2","Egln2","unclassified"
"1004","EGLN3","Egln3","unclassified"
"1005","ELANE","Elane","protein modifying enzyme"
"1006","ELFN1","Elfn1","other transmembrane signal receptor"
"1007","EMC1","Emc1","unclassified"
"1008","ENAH","Enah","scaffold/adaptor"
"1009","ENAM","Enam","structural"
"1010","ENG","Eng","other transmembrane signal receptor"
"1011","ENHO","Enho","other intercellular signal"
"1012","ENO1","Eno1","metabolite interconversion enzyme"
"1013","ENO1","Eno1b","metabolite interconversion enzyme"
"1014","ENPEP","Enpep","protein modifying enzyme"
"1015","ENPP1","Enpp1","metabolite interconversion enzyme"
"1016","ENPP2","Enpp2","metabolite interconversion enzyme"
"1017","ENPP3","Enpp3","metabolite interconversion enzyme"
"1018","ENPP6","Enpp6","metabolite interconversion enzyme"
"1019","ENTPD1","Entpd1","metabolite interconversion enzyme"
"1020","ENTPD3","Entpd3","metabolite interconversion enzyme"
"1021","EPB41L3","Epb41l3","cytoskeletal"
"1022","EPCAM","Epcam","unclassified"
"1023","EPGN","Epgn","growth factor"
"1024","EPHA1","Epha1","tyrosine protein kinase receptor"
"1025","EPHA10","Epha10","tyrosine protein kinase receptor"
"1026","EPHA2","Epha2","tyrosine protein kinase receptor"
"1027","EPHA3","Epha3","tyrosine protein kinase receptor"
"1028","EPHA4","Epha4","tyrosine protein kinase receptor"
"1029","EPHA5","Epha5","tyrosine protein kinase receptor"
"1030","EPHA6","Epha6","tyrosine protein kinase receptor"
"1031","EPHA7","Epha7","tyrosine protein kinase receptor"
"1032","EPHA8","Epha8","tyrosine protein kinase receptor"
"1033","EPHB1","Ephb1","tyrosine protein kinase receptor"
"1034","EPHB2","Ephb2","tyrosine protein kinase receptor"
"1035","EPHB3","Ephb3","tyrosine protein kinase receptor"
"1036","EPHB4","Ephb4","tyrosine protein kinase receptor"
"1037","EPHB6","Ephb6","tyrosine protein kinase receptor"
"1038","EPN1","Epn1","membrane traffic"
"1039","EPO","Epo","other intercellular signal"
"1040","EPOR","Epor","other transmembrane signal receptor"
"1041","EPPIN","Eppin","unclassified"
"1042","EPRS1","Eprs","translational"
"1043","ERAP1","Erap1","protein modifying enzyme"
"1044","ERBB2","Erbb2","tyrosine protein kinase receptor"
"1045","ERBB3","Erbb3","tyrosine protein kinase receptor"
"1046","ERBB4","Erbb4","tyrosine protein kinase receptor"
"1047","EREG","Ereg","growth factor"
"1048","ERFE","Erfe","peptide hormone"
"1049","ERG28","Erg28","unclassified"
"1050","ESAM","Esam","cell adhesion"
"1051","ESM1","Esm1","other intercellular signal"
"1052","ESR1","Esr1","gene-specific transcriptional regulator"
"1053","ESR2","Esr2","gene-specific transcriptional regulator"
"1054","ESRRA","Esrra","gene-specific transcriptional regulator"
"1055","ETV5","Etv5","gene-specific transcriptional regulator"
"1056","EVC2","Evc2","unclassified"
"1057","EZR","Ezr","cytoskeletal"
"1058","F10","F10","protein modifying enzyme"
"1059","F11","F11","protein modifying enzyme"
"1060","F11R","F11r","cell adhesion"
"1061","F12","F12","protein modifying enzyme"
"1062","F13A1","F13a1","metabolite interconversion enzyme"
"1063","F2","F2","protein modifying enzyme"
"1064","F2R","F2r","G-protein coupled receptor"
"1065","F2RL1","F2rl1","G-protein coupled receptor"
"1066","F2RL2","F2rl2","G-protein coupled receptor"
"1067","F2RL3","F2rl3","G-protein coupled receptor"
"1068","F3","F3","other transmembrane signal receptor"
"1069","F7","F7","protein modifying enzyme"
"1070","F8","F8","metabolite interconversion enzyme"
"1071","F9","F9","protein modifying enzyme"
"1072","FAAH","Faah","metabolite interconversion enzyme"
"1073","FABP5","Fabp5","transfer/carrier"
"1074","FABP6","Fabp6","transfer/carrier"
"1075","FADD","Fadd","other intercellular signal"
"1076","FAH","Fah","unclassified"
"1077","FAHD1","Fahd1","metabolite interconversion enzyme"
"1078","FAM187A","Fam187a","cell adhesion"
"1079","FAM187B","Fam187b","cell adhesion"
"1080","FAM20A","Fam20a","unclassified"
"1081","FAM20C","Fam20c","unclassified"
"1082","FAM237A","Gm39653","unclassified"
"1083","FAM3B","Fam3b","defense/immunity"
"1084","FAM3C","Fam3c","defense/immunity"
"1085","FAM3D","Fam3d","defense/immunity"
"1086","FAP","Fap","protein modifying enzyme"
"1087","FARP2","Farp2","unclassified"
"1088","FARS2","Fars2","translational"
"1089","FARSA","Farsa","translational"
"1090","FARSB","Farsb","translational"
"1091","FAS","Fas","other transmembrane signal receptor"
"1092","FASLG","Fasl","other intercellular signal"
"1093","FASN","Fasn","unclassified"
"1094","FAT1","Fat1","cell adhesion"
"1095","FAT2","Fat2","cell adhesion"
"1096","FAT3","Fat3","cell adhesion"
"1097","FAT4","Fat4","cell adhesion"
"1098","FATE1","Fate1","unclassified"
"1099","FBLN1","Fbln1","other intercellular signal"
"1100","FBLN2","Fbln2","extracellular matrix"
"1101","FBN1","Fbn1","extracellular matrix"
"1102","FCAMR","Fcamr","defense/immunity"
"1103","FCER1A","Fcer1a","defense/immunity"
"1104","FCER1G","Fcer1g","defense/immunity"
"1105","FCER2","Fcer2a","membrane traffic"
"1106","FCGR1A","Fcgr1","defense/immunity"
"1107","FCGR2A","Fcgr2b","defense/immunity"
"1108","FCGR2A","Fcgr3","defense/immunity"
"1109","FCGR2B","Fcgr2b","defense/immunity"
"1110","FCGR2B","Fcgr3","defense/immunity"
"1111","FCGR3B","Fcgr4","defense/immunity"
"1112","FCGRT","Fcgrt","defense/immunity"
"1113","FCRL1","Fcrl1","defense/immunity"
"1114","FCSK","Fcsk","metabolite interconversion enzyme"
"1115","FDPS","Fdps","metabolite interconversion enzyme"
"1116","FECH","Fech","metabolite interconversion enzyme"
"1117","FFAR1","Ffar1","other transmembrane signal receptor"
"1118","FFAR2","Ffar2","other transmembrane signal receptor"
"1119","FFAR3","Ffar3","other transmembrane signal receptor"
"1120","FFAR4","Ffar4","G-protein coupled receptor"
"1121","FGB","Fgb","other intercellular signal"
"1122","FGF1","Fgf1","growth factor"
"1123","FGF10","Fgf10","growth factor"
"1124","FGF11","Fgf11","growth factor"
"1125","FGF12","Fgf12","growth factor"
"1126","FGF13","Fgf13","growth factor"
"1127","FGF14","Fgf14","growth factor"
"1128","FGF16","Fgf16","growth factor"
"1129","FGF17","Fgf17","growth factor"
"1130","FGF18","Fgf18","growth factor"
"1131","FGF19","Fgf15","growth factor"
"1132","FGF2","Fgf2","growth factor"
"1133","FGF20","Fgf20","growth factor"
"1134","FGF21","Fgf21","growth factor"
"1135","FGF22","Fgf22","growth factor"
"1136","FGF23","Fgf23","growth factor"
"1137","FGF3","Fgf3","growth factor"
"1138","FGF4","Fgf4","growth factor"
"1139","FGF5","Fgf5","growth factor"
"1140","FGF6","Fgf6","growth factor"
"1141","FGF7","Fgf7","growth factor"
"1142","FGF8","Fgf8","growth factor"
"1143","FGF9","Fgf9","growth factor"
"1144","FGFR1","Fgfr1","tyrosine protein kinase receptor"
"1145","FGFR2","Fgfr2","tyrosine protein kinase receptor"
"1146","FGFR3","Fgfr3","tyrosine protein kinase receptor"
"1147","FGFR4","Fgfr4","tyrosine protein kinase receptor"
"1148","FGFRL1","Fgfrl1","tyrosine protein kinase receptor"
"1149","FGG","Fgg","other intercellular signal"
"1150","FGL1","Fgl1","other intercellular signal"
"1151","FH","Fh1","metabolite interconversion enzyme"
"1152","FHIT","Fhit","metabolite interconversion enzyme"
"1153","FKBP4","Fkbp4","chaperone"
"1154","FLNA","Flna","other intercellular signal"
"1155","FLNB","Flnb","unclassified"
"1156","FLNC","Flnc","unclassified"
"1157","FLOT1","Flot1","other intercellular signal"
"1158","FLOT2","Flot2","unclassified"
"1159","FLRT1","Flrt1","unclassified"
"1160","FLRT2","Flrt2","other intercellular signal"
"1161","FLRT3","Flrt3","other intercellular signal"
"1162","FLT1","Flt1","tyrosine protein kinase receptor"
"1163","FLT3","Flt3","tyrosine protein kinase receptor"
"1164","FLT3LG","Flt3l","cytokine"
"1165","FLT4","Flt4","tyrosine protein kinase receptor"
"1166","FMOD","Fmod","unclassified"
"1167","FN1","Fn1","extracellular matrix"
"1168","FNDC5","Fndc5","other intercellular signal"
"1169","FOLR1","Folr1","membrane traffic"
"1170","FOLR2","Folr2","membrane traffic"
"1171","FOXA1","Foxa1","gene-specific transcriptional regulator"
"1172","FOXN1","Foxn1","gene-specific transcriptional regulator"
"1173","FPR1","Fpr1","G-protein coupled receptor"
"1174","FPR2","Fpr2","G-protein coupled receptor"
"1175","FPR2","Fpr3","G-protein coupled receptor"
"1176","FRAS1","Fras1","unclassified"
"1177","FREM1","Frem1","unclassified"
"1178","FREM2","Frem2","unclassified"
"1179","FRS3","Frs3","scaffold/adaptor"
"1180","FRZB","Frzb","other transmembrane signal receptor"
"1181","FSHB","Fshb","peptide hormone"
"1182","FSHR","Fshr","G-protein coupled receptor"
"1183","FST","Fst","protein-binding activity modulator"
"1184","FSTL1","Fstl1","protein-binding activity modulator"
"1185","FSTL5","Fstl5","protein-binding activity modulator"
"1186","FTH1","Fth1","storage"
"1187","FTMT","Ftmt","storage"
"1188","FXN","Fxn","transfer/carrier"
"1189","FXYD6","Fxyd6","transporter"
"1190","FYN","Fyn","protein modifying enzyme"
"1191","FZD1","Fzd1","other transmembrane signal receptor"
"1192","FZD10","Fzd10","other transmembrane signal receptor"
"1193","FZD2","Fzd2","other transmembrane signal receptor"
"1194","FZD3","Fzd3","other transmembrane signal receptor"
"1195","FZD4","Fzd4","other transmembrane signal receptor"
"1196","FZD5","Fzd5","other transmembrane signal receptor"
"1197","FZD6","Fzd6","other transmembrane signal receptor"
"1198","FZD7","Fzd7","other transmembrane signal receptor"
"1199","FZD8","Fzd8","other transmembrane signal receptor"
"1200","FZD9","Fzd9","other transmembrane signal receptor"
"1201","G6PC1","G6pc","metabolite interconversion enzyme"
"1202","G6PC2","G6pc2","metabolite interconversion enzyme"
"1203","G6PC3","G6pc3","metabolite interconversion enzyme"
"1204","G6PD","G6pd2","metabolite interconversion enzyme"
"1205","G6PD","G6pdx","metabolite interconversion enzyme"
"1206","GAA","Gaa","metabolite interconversion enzyme"
"1207","GABBR1","Gabbr1","G-protein coupled receptor"
"1208","GABBR2","Gabbr2","G-protein coupled receptor"
"1209","GABRA1","Gabra1","ion channel"
"1210","GABRA2","Gabra2","ion channel"
"1211","GABRA3","Gabra3","ion channel"
"1212","GABRA4","Gabra4","ion channel"
"1213","GABRA5","Gabra5","ion channel"
"1214","GABRA6","Gabra6","ion channel"
"1215","GABRB1","Gabrb1","ion channel"
"1216","GABRB2","Gabrb2","ion channel"
"1217","GABRB3","Gabrb3","ion channel"
"1218","GABRG1","Gabrg1","ion channel"
"1219","GABRG2","Gabrg2","ion channel"
"1220","GABRG3","Gabrg3","ion channel"
"1221","GAD1","Gad1","metabolite interconversion enzyme"
"1222","GAD2","Gad2","metabolite interconversion enzyme"
"1223","GAL","Gal","other intercellular signal"
"1224","GALC","Galc","metabolite interconversion enzyme"
"1225","GALE","Gale","metabolite interconversion enzyme"
"1226","GALM","Galm","metabolite interconversion enzyme"
"1227","GALP","Galp","other intercellular signal"
"1228","GALR1","Galr1","G-protein coupled receptor"
"1229","GALR2","Galr2","G-protein coupled receptor"
"1230","GALR3","Galr3","G-protein coupled receptor"
"1231","GALT","Galt","metabolite interconversion enzyme"
"1232","GAMT","Gamt","metabolite interconversion enzyme"
"1233","GANC","Ganc","metabolite interconversion enzyme"
"1234","GANC","Gm52968","metabolite interconversion enzyme"
"1235","GARS1","Gars","translational"
"1236","GART","Gart","unclassified"
"1237","GAS1","Gas1","unclassified"
"1238","GAS6","Gas6","other intercellular signal"
"1239","GAST","Gast","peptide hormone"
"1240","GATA3","Gata3","gene-specific transcriptional regulator"
"1241","GATM","Gatm","metabolite interconversion enzyme"
"1242","GBA2","Gba2","metabolite interconversion enzyme"
"1243","GC","Gc","transfer/carrier"
"1244","GCG","Gcg","other intercellular signal"
"1245","GCGR","Gcgr","other transmembrane signal receptor"
"1246","GCK","Gck","metabolite interconversion enzyme"
"1247","GCLC","Gclc","metabolite interconversion enzyme"
"1248","GDA","Gda","metabolite interconversion enzyme"
"1249","GDF1","Gdf1","growth factor"
"1250","GDF1","Cers1","growth factor"
"1251","GDF10","Gdf10","growth factor"
"1252","GDF11","Gdf11","growth factor"
"1253","GDF15","Gdf15","growth factor"
"1254","GDF2","Gdf2","growth factor"
"1255","GDF3","Gdf3","growth factor"
"1256","GDF5","Gdf5","growth factor"
"1257","GDF6","Gdf6","growth factor"
"1258","GDF7","Gdf7","growth factor"
"1259","GDF9","Gdf9","growth factor"
"1260","GDNF","Gdnf","neurotrophic factor"
"1261","GDPD2","Gdpd2","metabolite interconversion enzyme"
"1262","GFAP","Gfap","cytoskeletal"
"1263","GFER","Gfer","metabolite interconversion enzyme"
"1264","GFPT1","Gfpt1","metabolite interconversion enzyme"
"1265","GFPT2","Gfpt2","metabolite interconversion enzyme"
"1266","GFRA1","Gfra1","other transmembrane signal receptor"
"1267","GFRA2","Gfra2","other transmembrane signal receptor"
"1268","GFRA3","Gfra3","other transmembrane signal receptor"
"1269","GFRA4","Gfra4","other transmembrane signal receptor"
"1270","GFRAL","Gfral","other transmembrane signal receptor"
"1271","GGCT","Ggct","unclassified"
"1272","GGH","Ggh","protein modifying enzyme"
"1273","GGPS1","Ggps1","metabolite interconversion enzyme"
"1274","GGT1","Ggt1","protein modifying enzyme"
"1275","GGT5","Ggt5","protein modifying enzyme"
"1276","GGT6","Ggt6","metabolite interconversion enzyme"
"1277","GGT7","Ggt7","protein modifying enzyme"
"1278","GH1","Gh","peptide hormone"
"1279","GH2","Gh","peptide hormone"
"1280","GHR","Ghr","other transmembrane signal receptor"
"1281","GHRH","Ghrh","neuropeptide"
"1282","GHRHR","Ghrhr","other transmembrane signal receptor"
"1283","GHRL","Ghrl","peptide hormone"
"1284","GHSR","Ghsr","G-protein coupled receptor"
"1285","GIP","Gip","other intercellular signal"
"1286","GIPR","Gipr","other transmembrane signal receptor"
"1287","GJA1","Gja1","cell junction"
"1288","GJB2","Gjb2","cell junction"
"1289","GLA","Gla","metabolite interconversion enzyme"
"1290","GLG1","Glg1","other intercellular signal"
"1291","GLI3","Gli3","gene-specific transcriptional regulator"
"1292","GLO1","Glo1","metabolite interconversion enzyme"
"1293","GLP1R","Glp1r","other transmembrane signal receptor"
"1294","GLP2R","Glp2r","other transmembrane signal receptor"
"1295","GLRA1","Glra1","ion channel"
"1296","GLRA2","Glra2","ion channel"
"1297","GLRA3","Glra3","ion channel"
"1298","GLRB","Glrb","ion channel"
"1299","GLS","Gls","metabolite interconversion enzyme"
"1300","GLS2","Gls2","metabolite interconversion enzyme"
"1301","GLUD1","Glud1","metabolite interconversion enzyme"
"1302","GLUD2","Glud1","metabolite interconversion enzyme"
"1303","GLUL","Glul","metabolite interconversion enzyme"
"1304","GMFG","Gmfg","other intercellular signal"
"1305","GMPS","Gmps","metabolite interconversion enzyme"
"1306","GNA11","Gna11","protein-binding activity modulator"
"1307","GNA13","Gna13","protein-binding activity modulator"
"1308","GNA15","Gna15","other intercellular signal"
"1309","GNB1","Gnb1","protein-binding activity modulator"
"1310","GNB3","Gnb3","protein-binding activity modulator"
"1311","GNE","Gne","gene-specific transcriptional regulator"
"1312","GNG8","Gng8","protein-binding activity modulator"
"1313","GNRH1","Gnrh1","peptide hormone"
"1314","GNRHR","Gnrhr","G-protein coupled receptor"
"1315","GNS","Gns","metabolite interconversion enzyme"
"1316","GOT1","Got1","metabolite interconversion enzyme"
"1317","GOT2","Got2","metabolite interconversion enzyme"
"1318","GP1BA","Gp1ba","other transmembrane signal receptor"
"1319","GP1BB","Gp1bb","other transmembrane signal receptor"
"1320","GP5","Gp5","scaffold/adaptor"
"1321","GP6","Gp6","defense/immunity"
"1322","GP9","Gp9","unclassified"
"1323","GPBAR1","Gpbar1","G-protein coupled receptor"
"1324","GPC1","Gpc1","scaffold/adaptor"
"1325","GPC2","Gpc2","scaffold/adaptor"
"1326","GPC2","Gm43720","scaffold/adaptor"
"1327","GPC3","Gpc3","scaffold/adaptor"
"1328","GPC4","Gpc4","scaffold/adaptor"
"1329","GPC5","Gpc5","scaffold/adaptor"
"1330","GPC6","Gpc6","scaffold/adaptor"
"1331","GPCPD1","Gpcpd1","metabolite interconversion enzyme"
"1332","GPHA2","Gpha2","peptide hormone"
"1333","GPHB5","Gphb5","peptide hormone"
"1334","GPI","Gpi1","metabolite interconversion enzyme"
"1335","GPIHBP1","Gpihbp1","protein-binding activity modulator"
"1336","GPNMB","Gpnmb","membrane-bound signaling molecule"
"1337","GPR101","Gpr101","G-protein coupled receptor"
"1338","GPR107","Gpr107","G-protein coupled receptor"
"1339","GPR119","Gpr119","G-protein coupled receptor"
"1340","GPR12","Gpr12","G-protein coupled receptor"
"1341","GPR135","Gpr135","G-protein coupled receptor"
"1342","GPR139","Gpr139","other transmembrane signal receptor"
"1343","GPR142","Gpr142","other transmembrane signal receptor"
"1344","GPR143","Gpr143","G-protein coupled receptor"
"1345","GPR146","Gpr146","G-protein coupled receptor"
"1346","GPR15","Gpr15","G-protein coupled receptor"
"1347","GPR151","Gpr151","other transmembrane signal receptor"
"1348","GPR152","Gpr152","G-protein coupled receptor"
"1349","GPR153","Gpr153","G-protein coupled receptor"
"1350","GPR161","Gpr161","G-protein coupled receptor"
"1351","GPR162","Gpr162","G-protein coupled receptor"
"1352","GPR17","Gpr17","G-protein coupled receptor"
"1353","GPR171","Gpr171","G-protein coupled receptor"
"1354","GPR173","Gpr173","G-protein coupled receptor"
"1355","GPR174","Gpr174","G-protein coupled receptor"
"1356","GPR18","Gpr18","G-protein coupled receptor"
"1357","GPR182","Gpr182","G-protein coupled receptor"
"1358","GPR183","Gpr183","G-protein coupled receptor"
"1359","GPR19","Gpr19","G-protein coupled receptor"
"1360","GPR20","Gpr20","G-protein coupled receptor"
"1361","GPR25","Gpr25","G-protein coupled receptor"
"1362","GPR26","Gpr26","G-protein coupled receptor"
"1363","GPR3","Gpr3","G-protein coupled receptor"
"1364","GPR34","Gpr34","G-protein coupled receptor"
"1365","GPR35","Gpr35","G-protein coupled receptor"
"1366","GPR37","Gpr37","G-protein coupled receptor"
"1367","GPR37L1","Gpr37l1","G-protein coupled receptor"
"1368","GPR39","Gpr39","G-protein coupled receptor"
"1369","GPR42","Ffar3","other transmembrane signal receptor"
"1370","GPR55","Gpr55","G-protein coupled receptor"
"1371","GPR61","Gpr61","G-protein coupled receptor"
"1372","GPR63","Gpr63","G-protein coupled receptor"
"1373","GPR65","Gpr65","G-protein coupled receptor"
"1374","GPR68","Gpr68","G-protein coupled receptor"
"1375","GPR75","Gpr75","G-protein coupled receptor"
"1376","GPR83","Gpr83","G-protein coupled receptor"
"1377","GPR87","Gpr87","G-protein coupled receptor"
"1378","GPRC5B","Gprc5b","G-protein coupled receptor"
"1379","GPRC5D","Gprc5d","G-protein coupled receptor"
"1380","GPRC6A","Gprc6a","G-protein coupled receptor"
"1381","GPT","Gpt","metabolite interconversion enzyme"
"1382","GPT2","Gpt2","metabolite interconversion enzyme"
"1383","GPX1","Gpx1","metabolite interconversion enzyme"
"1384","GPX2","Gpx2","metabolite interconversion enzyme"
"1385","GPX3","Gpx3","metabolite interconversion enzyme"
"1386","GPX6","Gpx6","metabolite interconversion enzyme"
"1387","GPX7","Gpx7","metabolite interconversion enzyme"
"1388","GRB2","Grb2","other intercellular signal"
"1389","GRB7","Grb7","scaffold/adaptor"
"1390","GREM1","Grem1","other intercellular signal"
"1391","GREM2","Grem2","other intercellular signal"
"1392","GRHPR","Grhpr","metabolite interconversion enzyme"
"1393","GRIA1","Gria1","other transmembrane signal receptor"
"1394","GRIA2","Gria2","other transmembrane signal receptor"
"1395","GRIA3","Gria3","other transmembrane signal receptor"
"1396","GRIA4","Gria4","other transmembrane signal receptor"
"1397","GRID1","Grid1","other transmembrane signal receptor"
"1398","GRID2","Grid2","other transmembrane signal receptor"
"1399","GRIK1","Grik1","other transmembrane signal receptor"
"1400","GRIK2","Grik2","other transmembrane signal receptor"
"1401","GRIK3","Grik3","other transmembrane signal receptor"
"1402","GRIK4","Grik4","other transmembrane signal receptor"
"1403","GRIK5","Grik5","other transmembrane signal receptor"
"1404","GRIN1","Grin1","other transmembrane signal receptor"
"1405","GRIN2A","Grin2a","other transmembrane signal receptor"
"1406","GRIN2B","Grin2b","other transmembrane signal receptor"
"1407","GRIN2C","Grin2c","other transmembrane signal receptor"
"1408","GRIN2D","Grin2d","other transmembrane signal receptor"
"1409","GRIN3A","Grin3a","other transmembrane signal receptor"
"1410","GRIN3B","Grin3b","other transmembrane signal receptor"
"1411","GRIP1","Grip1","unclassified"
"1412","GRK2","Grk2","protein modifying enzyme"
"1413","GRK5","Grk5","protein modifying enzyme"
"1414","GRM1","Grm1","G-protein coupled receptor"
"1415","GRM2","Grm2","G-protein coupled receptor"
"1416","GRM3","Grm3","G-protein coupled receptor"
"1417","GRM4","Grm4","G-protein coupled receptor"
"1418","GRM5","Grm5","G-protein coupled receptor"
"1419","GRM6","Grm6","G-protein coupled receptor"
"1420","GRM7","Grm7","G-protein coupled receptor"
"1421","GRM8","Grm8","G-protein coupled receptor"
"1422","GRN","Grn","other intercellular signal"
"1423","GRP","Grp","other intercellular signal"
"1424","GRPR","Grpr","other transmembrane signal receptor"
"1425","GSR","Gsr","metabolite interconversion enzyme"
"1426","GSTM2","Gstm7","metabolite interconversion enzyme"
"1427","GSTO1","Gsto1","unclassified"
"1428","GSTP1","Gstp2","metabolite interconversion enzyme"
"1429","GSTP1","Gstp1","metabolite interconversion enzyme"
"1430","GTPBP1","Gtpbp1","translational"
"1431","GTPBP2","Gtpbp2","translational"
"1432","GUCA1A","Guca1a","calcium-binding"
"1433","GUCA1B","Guca1b","calcium-binding"
"1434","GUCA2A","Guca2a","protein-binding activity modulator"
"1435","GUCA2B","Guca2b","protein-binding activity modulator"
"1436","GUCY1A1","Gucy1a1","metabolite interconversion enzyme"
"1437","GUCY1A2","Gucy1a2","metabolite interconversion enzyme"
"1438","GUCY1B1","Gucy1b1","metabolite interconversion enzyme"
"1439","GUCY2C","Gucy2c","metabolite interconversion enzyme"
"1440","GUCY2D","Gucy2e","metabolite interconversion enzyme"
"1441","GUCY2F","Gucy2f","metabolite interconversion enzyme"
"1442","GYPE","Gypa","unclassified"
"1443","GZMA","Gzma","protein modifying enzyme"
"1444","GZMB","Gzme","protein modifying enzyme"
"1445","GZMB","Gzmg","protein modifying enzyme"
"1446","GZMB","Gzmc","protein modifying enzyme"
"1447","GZMB","Gzmn","protein modifying enzyme"
"1448","GZMB","Gzmb","protein modifying enzyme"
"1449","GZMB","Gzmf","protein modifying enzyme"
"1450","GZMB","Gzmd","protein modifying enzyme"
"1451","H6PD","H6pd","metabolite interconversion enzyme"
"1452","HAGH","Hagh","unclassified"
"1453","HAGHL","Haghl","unclassified"
"1454","HAO1","Hao1","metabolite interconversion enzyme"
"1455","HAO2","Hao2","metabolite interconversion enzyme"
"1456","HAPLN1","Hapln1","extracellular matrix"
"1457","HAS1","Has1","metabolite interconversion enzyme"
"1458","HAS2","Has2","metabolite interconversion enzyme"
"1459","HAVCR1","Gm12169","unclassified"
"1460","HAVCR1","BC053393","unclassified"
"1461","HAVCR1","Havcr1","unclassified"
"1462","HAVCR1","Timd2","unclassified"
"1463","HAVCR2","Havcr2","defense/immunity"
"1464","HBEGF","Hbegf","growth factor"
"1465","HCAR1","Hcar1","G-protein coupled receptor"
"1466","HCAR2","Hcar2","G-protein coupled receptor"
"1467","HCRT","Hcrt","other intercellular signal"
"1468","HCRTR1","Hcrtr1","G-protein coupled receptor"
"1469","HCRTR2","Hcrtr2","G-protein coupled receptor"
"1470","HCST","Hcst","other intercellular signal"
"1471","HDC","Hdc","metabolite interconversion enzyme"
"1472","HEBP1","Hebp1","unclassified"
"1473","HEPACAM","Hepacam","defense/immunity"
"1474","HFE","Hfe","defense/immunity"
"1475","HGF","Hgf","protein modifying enzyme"
"1476","HHIP","Hhip","protein-binding activity modulator"
"1477","HHIPL2","Hhipl2","protein-binding activity modulator"
"1478","HIF1AN","Hif1an","protein modifying enzyme"
"1479","HJV","Hjv","other intercellular signal"
"1480","HK1","Hk1","metabolite interconversion enzyme"
"1481","HK2","Hk2","metabolite interconversion enzyme"
"1482","HK3","Hk3","metabolite interconversion enzyme"
"1483","HLA-DMA","H2-DMa","defense/immunity"
"1484","HLA-DMB","H2-DMb2","defense/immunity"
"1485","HLA-DMB","H2-DMb1","defense/immunity"
"1486","HLA-DOA","H2-Oa","defense/immunity"
"1487","HLA-DOB","H2-Ob","defense/immunity"
"1488","HLA-DQB1","H2-Ab1","defense/immunity"
"1489","HLA-DQB2","H2-Ab1","defense/immunity"
"1490","HLA-DRA","H2-Ea","defense/immunity"
"1491","HLA-DRB1","H2-Eb2","defense/immunity"
"1492","HLA-DRB5","H2-Eb2","defense/immunity"
"1493","HLA-E","H2-Q2","defense/immunity"
"1494","HLA-E","H2-Q4","defense/immunity"
"1495","HLA-E","H2-Q7","defense/immunity"
"1496","HLA-E","H2-T23","defense/immunity"
"1497","HLA-E","Gm8909","defense/immunity"
"1498","HLA-E","H2-Q6","defense/immunity"
"1499","HLA-E","H2-M10.1","defense/immunity"
"1500","HLA-E","H2-D1","defense/immunity"
"1501","HLA-E","H2-Q10","defense/immunity"
"1502","HLA-E","H2-T3","defense/immunity"
"1503","HLA-E","H2-M10.2","defense/immunity"
"1504","HLA-E","H2-M3","defense/immunity"
"1505","HLA-E","H2-M1","defense/immunity"
"1506","HLA-E","H2-Q1","defense/immunity"
"1507","HLA-E","H2-M10.6","defense/immunity"
"1508","HLA-E","H2-M11","defense/immunity"
"1509","HLA-E","Gm7030","defense/immunity"
"1510","HLA-E","H2-M9","defense/immunity"
"1511","HLA-E","H2-K1","defense/immunity"
"1512","HLA-E","H2-T22","defense/immunity"
"1513","HLA-E","H2-T24","defense/immunity"
"1514","HLA-E","H2-M10.4","defense/immunity"
"1515","HLA-E","H2-M10.5","defense/immunity"
"1516","HLA-E","H2-M5","defense/immunity"
"1517","HLA-E","Gm11127","defense/immunity"
"1518","HLA-E","H2-T10","defense/immunity"
